abbey;apátság
abdomen;has
ability;képesség
(be) able to (do sg);képes (vmit csinálni)
aboard;fedélzeten
absent-minded;szórakozott
absorb;felszív, elnyel
absolutely;teljesen
acceleration;1. gyorsulás 2. gáz(pedál)
accent;idegen kiejtés, akcentus
accept;elfogad
accessories;kiegészítők
accompany;elkísér
accordion;harmonika
account;könyvelés, könyvvitel
accumulate;felhalmozódik
accurate;pontos
accuse sy of sg;vádol (vkit valamivel)
achieve;elér (eredményt), megvalósít
acknowledgement;elismerés, köszönetnyilvánítás
acquaintance;ismerős, ismeretség
adaptable;alkalmazkodó
addressee;címzett
adequate;megfelelő, elegendő
admire;bámul, csodál
admission;belépés, felvétel (pl. iskolába)
admit;1. elismer 2. beenged, bebocsát
adopt;1. örökbefogad 2. magáévá tesz (nézetet)
